source_surface,resource,grain,field_name,sampled_seasons,sampled_paths,semantic_status
PL_PULSELIVE_HISTORICAL,player_season,player_season,unsuccessfulDribbles,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,unsuccessfulLaunches,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,unsuccessfulLayoffs,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,unsuccessfulLongPasses,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,unsuccessfulPassesOwnHalf,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,unsuccessfulShortPasses,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,winningGoal,2009-10;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,yellowCards,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,squad,squad,age,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/squad/2009-10_squad.csv | pl_stats/A_Villa_7/squad/2025-26_squad.csv | pl_stats/Arsenal_3/squad/2017-18_squad.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,squad,squad,birthCountry,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/squad/2009-10_squad.csv | pl_stats/A_Villa_7/squad/2025-26_squad.csv | pl_stats/Arsenal_3/squad/2017-18_squad.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,squad,squad,birthDate,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/squad/2009-10_squad.csv | pl_stats/A_Villa_7/squad/2025-26_squad.csv | pl_stats/Arsenal_3/squad/2017-18_squad.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,squad,squad,displayName,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/squad/2009-10_squad.csv | pl_stats/A_Villa_7/squad/2025-26_squad.csv | pl_stats/Arsenal_3/squad/2017-18_squad.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,squad,squad,firstName,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/squad/2009-10_squad.csv | pl_stats/A_Villa_7/squad/2025-26_squad.csv | pl_stats/Arsenal_3/squad/2017-18_squad.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,squad,squad,height_cm,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/squad/2009-10_squad.csv | pl_stats/A_Villa_7/squad/2025-26_squad.csv | pl_stats/Arsenal_3/squad/2017-18_squad.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,squad,squad,isoCode,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/squad/2009-10_squad.csv | pl_stats/A_Villa_7/squad/2025-26_squad.csv | pl_stats/Arsenal_3/squad/2017-18_squad.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,squad,squad,joinDate,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/squad/2009-10_squad.csv | pl_stats/A_Villa_7/squad/2025-26_squad.csv | pl_stats/Arsenal_3/squad/2017-18_squad.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,squad,squad,lastName,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/squad/2009-10_squad.csv | pl_stats/A_Villa_7/squad/2025-26_squad.csv | pl_stats/Arsenal_3/squad/2017-18_squad.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,squad,squad,nationality,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/squad/2009-10_squad.csv | pl_stats/A_Villa_7/squad/2025-26_squad.csv | pl_stats/Arsenal_3/squad/2017-18_squad.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,squad,squad,onLoan,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/squad/2009-10_squad.csv | pl_stats/A_Villa_7/squad/2025-26_squad.csv | pl_stats/Arsenal_3/squad/2017-18_squad.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,squad,squad,playerId,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/squad/2009-10_squad.csv | pl_stats/A_Villa_7/squad/2025-26_squad.csv | pl_stats/Arsenal_3/squad/2017-18_squad.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,squad,squad,position,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/squad/2009-10_squad.csv | pl_stats/A_Villa_7/squad/2025-26_squad.csv | pl_stats/Arsenal_3/squad/2017-18_squad.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,squad,squad,preferredFoot,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/squad/2009-10_squad.csv | pl_stats/A_Villa_7/squad/2025-26_squad.csv | pl_stats/Arsenal_3/squad/2017-18_squad.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,squad,squad,shirtNumber,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/squad/2009-10_squad.csv | pl_stats/A_Villa_7/squad/2025-26_squad.csv | pl_stats/Arsenal_3/squad/2017-18_squad.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,squad,squad,weight_kg,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/squad/2009-10_squad.csv | pl_stats/A_Villa_7/squad/2025-26_squad.csv | pl_stats/Arsenal_3/squad/2017-18_squad.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,team_match,team_match,accurateBackZonePass,2025-26,pl_stats/A_Villa_7/events_stats/2025-26_events_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,team_match,team_match,accurateBackZonePass_a,2009-10;2017-18;2025-26,pl_stats/_merged/events/2009-10_events_stats.csv | pl_stats/_merged/events/2017-18_events_stats.csv | pl_stats/_merged/events/2025-26_events_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,team_match,team_match,accurateBackZonePass_h,2009-10;2017-18;2025-26,pl_stats/_merged/events/2009-10_events_stats.csv | pl_stats/_merged/events/2017-18_events_stats.csv | pl_stats/_merged/events/2025-26_events_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,team_match,team_match,accurateChippedPass,2025-26,pl_stats/A_Villa_7/events_stats/2025-26_events_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,team_match,team_match,accurateChippedPass_a,2009-10;2017-18;2025-26,pl_stats/_merged/events/2009-10_events_stats.csv | pl_stats/_merged/events/2017-18_events_stats.csv | pl_stats/_merged/events/2025-26_events_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,team_match,team_match,accurateChippedPass_h,2009-10;2017-18;2025-26,pl_stats/_merged/events/2009-10_events_stats.csv | pl_stats/_merged/events/2017-18_events_stats.csv | pl_stats/_merged/events/2025-26_events_stats.csv,UNCATALOGUED
